lineage_id,predecessor_product_id,successor_product_id
1,ABYSS_DIANA,ABYSS_DIANAV2
2,AIAIAI_TMA1,AIAIAI_TMA2
3,AKG_K271,AKG_K271MK2
4,AKG_K550,AKG_K553
5,AKG_K501,AKG_K601
6,AKG_N700NC,AKG_N700NCM2
7,APPLE_AIRPODSMAX,APPLE_AIRPODSMAXUSBC
8,AQ_NIGHTHAWK,AQ_NIGHTHAWKCARBON
9,AQ_NIGHTOWL,AQ_NIGHTOWLCARBON
10,ASTRO_A50G4,ASTRO_A50X
11,ATECH_AD2000,ATECH_AD2000X
12,ATECH_M50,ATECH_M50X
13,ATECH_M50XBT,ATECH_M50XBT2
14,ATECH_MSR7,ATECH_MSR7B
15,ATECH_R70X,ATECH_R70XA
16,ATECH_W1000,ATECH_W1000Z
17,AUDEZE_CRBN,AUDEZE_CRBN2
18,AUDEZE_LCD5,AUDEZE_LCD5S
19,AUDEZE_LCDXC,AUDEZE_LCDXC2021
20,AUDEZE_MAXWELL,AUDEZE_MAXWELL2
21,BEATS_SOLO2,BEATS_SOLO3
22,BEATS_SOLO3,BEATS_SOLO4
23,BEATS_STUDIO2013,BEATS_STUDIO2
24,BEATS_STUDIO2,BEATS_STUDIO3
25,BEATS_STUDIO3,BEATS_STUDIOPRO
26,BEYER_DT1990,BEYER_DT1990MK2
27,BEYER_DT700PROX,BEYER_DT700PROX2
28,BEYER_DT880,BEYER_DT880_2005
29,BEYER_DT880_2005,BEYER_DT880_600
30,BEYER_MMX300,BEYER_MMX300_2
31,BEYER_T1,BEYER_T1_2
32,BEYER_T1_2,BEYER_T1_3
33,BOSE_TRIPORT,BOSE_AE2
34,BOSE_QC15,BOSE_QC25
35,BOSE_QC25,BOSE_QC35
36,BOSE_QC35,BOSE_QC35II
37,BOSE_QC35II,BOSE_QC45
38,BOSE_QC45,BOSE_QCHP
39,BOSE_QCULTRA,BOSE_QCULTRA2
40,BW_P5,BW_P5S2
41,BW_PX,BW_PX7
42,BW_PX7,BW_PX7S2
43,BW_PX7S2,BW_PX7S2E
44,BW_PX7S2E,BW_PX7S3
45,BW_PX8,BW_PX8S2
46,CREATIVE_AVLIVE,CREATIVE_AVLIVE2
47,CREATIVE_AVLIVE2,CREATIVE_SXFLAIR
48,DENON_D1100,DENON_D1001
49,DENON_D7000,DENON_D7100
50,DENON_D7100,DENON_D7200
51,FOCAL_BATHYS,FOCAL_BATHYSMG
52,FOCAL_CLEAR,FOCAL_CLEARMG
53,FOCAL_UTOPIA,FOCAL_UTOPIA2022
54,FOSTEX_T50RPMK3,FOSTEX_T50RPMK4
55,FOSTEX_TH900,FOSTEX_TH900MK2
56,GRADO_GH2,GRADO_GH4
57,GRADO_GS3000E,GRADO_GS3000X
58,GRADO_PS1000,GRADO_PS1000E
59,GRADO_RS2E,GRADO_RS2X
60,GRADO_SR125I,GRADO_SR125E
61,GRADO_SR125E,GRADO_SR125X
62,GRADO_SR225I,GRADO_SR225E
63,GRADO_SR225E,GRADO_SR225X
64,GRADO_SR325I,GRADO_SR325E
65,GRADO_SR325E,GRADO_SR325X
66,GRADO_SR80E,GRADO_SR80X
67,HEDD_HEDDPHONE,HEDD_HEDDPHONE2
68,HIFIMAN_ANANDA,HIFIMAN_ANANDANANO
69,HIFIMAN_ARYA,HIFIMAN_ARYAORGANIC
70,HIFIMAN_DEVA,HIFIMAN_DEVAPRO
71,HIFIMAN_EDITIONX,HIFIMAN_EDITIONXV2
72,HIFIMAN_HE1000V2,HIFIMAN_HE1000SE
73,HIFIMAN_HE1000SE,HIFIMAN_HE1000UNV
74,HIFIMAN_HE1000,HIFIMAN_HE1000V2
75,HIFIMAN_HE400,HIFIMAN_HE400I
76,HIFIMAN_HE6,HIFIMAN_HE6SE
77,HYPERX_CLOUD,HYPERX_CLOUD2
78,HYPERX_CLOUD2,HYPERX_CLOUD3
79,JBL_LIVE650,JBL_LIVE660
80,JBL_TOUR1,JBL_TOUR1M2
81,LOGI_GPROX,LOGI_GPROX2
82,MARSHALL_MAJOR2,MARSHALL_MAJOR3
83,MARSHALL_MAJOR3,MARSHALL_MAJOR4
84,MARSHALL_MONITOR,MARSHALL_MONITOR2
85,MARSHALL_MONITOR2,MARSHALL_MONITOR3
86,MEZE_EMPYREAN,MEZE_EMPYREAN2
87,MEZE_LIRIC,MEZE_LIRIC2
88,OPPO_PM1,OPPO_PM2
89,PHIL_L2,PHIL_L3
90,PHIL_L3,PHIL_L4
91,PHIL_SHP9500,PHIL_SHP9600
92,PHIL_X1,PHIL_X2
93,PHIL_X2,PHIL_X2HR
94,PHIL_X2HR,PHIL_X3
95,RAZER_BSV2PRO,RAZER_BSV2PRO23
96,SENN_ACCENTUM,SENN_ACCENTUMPLUS
97,SENN_HD555,SENN_HD558
98,SENN_HD558,SENN_HD559
99,SENN_HD595,SENN_HD598
100,SENN_HD598,SENN_HD599
101,SENN_HD580,SENN_HD600
102,SENN_HD600,SENN_HD650
103,SENN_HD650,SENN_HD660S
104,SENN_HD660S,SENN_HD660S2
105,SENN_HD800,SENN_HD800S
106,SENN_MOMENTUM,SENN_MOMENTUM2
107,SENN_MOMENTUM2,SENN_MOMENTUM3
108,SENN_MOMENTUM3,SENN_MOMENTUM4
109,SENN_MOMENTUM4,SENN_MOMENTUM5
110,SENN_PXC550,SENN_PXC550II
111,SHURE_AONIC50,SHURE_AONIC50G2
112,SHURE_SRH440,SHURE_SRH440A
113,SHURE_SRH840,SHURE_SRH840A
114,SKULL_CRUSHERANC,SKULL_CRUSHERANC2
115,SONY_CH700N,SONY_CH710N
116,SONY_CH710N,SONY_CH720N
117,SONY_MDR1R,SONY_MDR1A
118,SONY_MDRV6,SONY_MDR7506
119,SONY_MDRZ7,SONY_MDRZ7M2
120,SONY_MDR1000X,SONY_WH1000XM2
121,SONY_WH1000XM2,SONY_WH1000XM3
122,SONY_WH1000XM3,SONY_WH1000XM4
123,SONY_WH1000XM4,SONY_WH1000XM5
124,SONY_WH1000XM5,SONY_WH1000XM6
125,SONY_MDR100ABN,SONY_WHH900N
126,SONY_XB900N,SONY_XB910N
127,STAX_SR207,STAX_SRL300
128,STAX_SR507,STAX_SRL500
129,STAX_SRL700,STAX_SRL700MK2
130,STEEL_NOVAPRO,STEEL_NOVAPROOMNI
131,TB_STEALTHPRO,TB_STEALTHPRO2
132,TECH_EAHA800,TECH_EAHA800M2
133,VMODA_LP,VMODA_LP2
134,VMODA_M100,VMODA_M100MASTER
135,ZMF_CALDERA,ZMF_CALDERACLOSED
136,ZMF_ORI,ZMF_ORI3
